,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
74,Greece,0.0488,0.0483,0.191,0.378,0.75,1.4,1.85,3.22,6.88,9.14,10.9,14.7,17.8,21.4,24.0,32.3,35.9,38.2,42.4,44.4,51.6,55.1,59.9,63.2,66.8,69.1,69.9,72.2,75.7,78.1
75,Grenada,0,0.0,0.0,0.0,0,0.298,0.991,1.48,2.47,4.06,5.13,14.8,18.6,19.6,20.5,21.4,22.3,23.2,24.1,27.0,30.0,32.0,35.0,51.6,52.5,53.3,54.2,55.1,56.0,56.9
76,Greenland,0,0.0,0.0,0.0647,0.0539,1.8,7.95,14.7,21.6,31.7,35.5,44.2,54.5,56.1,57.7,59.4,61.1,62.8,62.8,63.0,64.0,64.9,65.8,66.7,67.6,68.5,69.5,,,
77,Guatemala,0,0.0,0.0,0.0,0.003,0.0195,0.0955,0.467,0.593,0.712,1.74,3.39,4.55,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16.0,19.7,23.4,28.8,34.5,37.9,41.5,44.4,50.0
78,Guam,0,0.0,0.0,0.348,0.66,1.36,2.34,4.5,8.5,16.1,25.4,31.2,33.7,36.2,38.6,43.9,46.2,48.4,50.6,54.0,57.7,61.5,65.4,69.3,73.1,77.0,80.5,,,
79,Guyana,0,0.0,0.0,0.0,0,0.0659,0.132,0.264,0.4,0.6,1.0,1.5,2.4,3.7,5.7,8.9,13.8,18.2,23.9,29.9,30.0,30.5,31.0,32.0,34.0,35.7,37.3,,,
80,"Hong Kong, China",0.121,0.85,1.33,2.78,3.22,4.75,10.5,14.5,21.2,27.8,38.7,43.1,52.2,56.4,56.9,60.8,64.8,66.7,69.4,72.0,72.2,72.9,74.2,79.9,84.9,87.5,89.4,90.5,91.7,92.4
81,Honduras,0,0.0,0.0,0.0,0.0368,0.0437,0.171,0.301,0.574,1.2,1.42,2.6,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.1,15.9,18.1,17.8,23.0,27.1,29.5,31.7,36.0,39.4,42.0
82,Croatia,0,0.0,0.0972,0.268,0.514,0.859,1.73,3.27,4.41,6.64,11.6,17.8,22.8,30.9,33.1,38.0,41.4,44.2,50.6,56.5,57.8,61.9,66.7,68.6,69.8,72.7,67.1,75.3,79.1,78.3
83,Haiti,0,0.0,0.0,0.0,0,0.00748,,0.024,0.0707,0.231,0.341,0.893,1.65,5.4,6.38,6.8,7.2,7.6,8.1,8.37,9.0,9.8,10.6,11.4,14.2,22.8,27.2,32.5,33.3,34.5
84,Hungary,0.00338,0.0483,0.193,0.484,0.677,0.969,1.94,3.89,5.86,7.0,14.5,16.7,21.6,27.7,39.0,47.1,53.3,61.0,62.0,65.0,68.0,70.6,72.6,75.7,72.8,79.3,76.8,76.1,80.4,84.8
85,Indonesia,0,0.0,0.0,0.00106,0.0261,0.0566,0.195,0.255,0.444,0.926,2.02,2.13,2.39,2.6,3.6,4.76,5.79,7.92,6.92,10.9,12.3,14.5,14.9,17.1,22.1,25.4,32.3,39.9,47.7,53.7
86,India,0,0.00011,0.00022,0.00107,0.0262,0.0463,0.0708,0.139,0.273,0.528,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.5,10.1,11.1,12.3,13.5,14.9,16.5,18.2,20.1,29.4,43.0
87,Ireland,0.0568,0.17,0.281,0.558,1.11,2.2,4.09,8.1,10.9,17.9,23.1,25.9,34.3,37.0,41.6,54.8,61.2,65.3,67.4,69.8,74.9,76.9,78.2,83.5,83.5,83.5,84.1,87.0,87.0,92.0
88,Iran,0,0.0,0.0,0.00041,0.00418,0.0158,0.0468,0.0998,0.379,0.934,1.48,4.63,6.93,7.49,8.1,8.76,9.47,12.0,13.8,15.9,19.0,22.7,29.9,39.4,45.3,53.2,64.0,70.2,77.8,84.1
89,Iraq,0,0.0,0.0,0.0,0,,,,,,0.1,0.5,0.6,0.9,0.9,0.952,0.93,1.0,1.06,2.5,5.0,7.1,9.2,13.2,16.8,37.7,41.9,43.3,60.0,
90,Iceland,0.505,1.54,2.67,6.79,11.2,14.8,27.5,36.3,41.3,44.5,49.4,79.1,83.1,83.9,87.0,89.5,90.6,91.0,93.0,93.4,94.8,96.2,96.5,98.2,98.2,98.2,98.3,99.0,99.0,99.0
91,Israel,0.215,0.311,0.399,0.577,0.93,2.17,4.4,10.3,13.4,20.9,17.4,17.8,19.6,22.8,25.2,27.9,48.1,59.4,63.1,67.5,68.9,70.8,70.3,75.0,77.4,79.7,81.6,83.7,86.8,90.1
92,Italy,0.0351,0.0701,0.122,0.192,0.524,1.02,2.28,4.56,14.4,23.1,27.2,28.0,29.0,33.2,35.0,38.0,40.8,44.5,48.8,53.7,54.4,55.8,58.5,55.6,58.1,61.3,63.1,74.4,76.1,70.5
93,Jamaica,0,0.0,0.0,0.0368,0.109,0.591,0.798,1.98,2.36,3.12,3.86,6.1,7.8,10.0,12.8,16.4,21.1,23.6,24.3,27.7,37.4,33.8,37.1,40.4,42.2,44.4,55.1,68.2,,
94,Jordan,0,0.0,0.0,0.0,0.0232,0.0449,0.599,1.31,2.53,2.62,4.71,6.03,8.47,11.7,12.9,13.9,20.0,23.0,26.0,27.2,34.9,37.0,41.4,46.2,54.2,56.1,64.5,66.1,,
95,Japan,0.0404,0.0967,0.401,0.8,1.59,4.37,9.16,13.4,21.4,30.0,38.5,46.6,48.4,62.4,66.9,68.7,74.3,75.4,78.0,78.2,79.1,79.5,88.2,89.1,91.1,93.2,91.7,91.3,92.7,90.2
96,Kazakhstan,0,0.0,0.0,0.00052,0.0113,0.0318,0.0646,0.131,0.464,0.669,1.01,1.67,2.0,2.65,2.96,3.27,4.02,11.0,18.2,31.6,50.6,61.9,63.3,66.0,70.8,74.6,76.4,78.9,81.9,85.9
97,Kenya,0,0.0,0.0,0.0,0.00073,0.00884,0.0344,0.0503,0.114,0.318,0.62,1.21,2.94,3.02,3.1,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13.0,16.5,16.6,16.6,17.8,19.5,22.6,29.5
98,Kyrgyz Republic,0,0.0,0.0,0.0,0,,,0.0728,0.205,1.04,3.0,3.0,3.91,5.09,10.5,12.3,14.0,15.7,16.0,16.3,17.5,19.8,23.0,28.3,30.2,34.5,38.2,42.8,51.0,
99,Cambodia,0,0.0,0.0,0.0,0,,0.00584,0.0163,0.032,0.047,0.077,0.227,0.261,0.3,0.317,0.468,0.49,0.51,0.53,1.26,3.1,4.94,6.0,14.0,18.0,32.4,32.9,,,
100,Kiribati,0,0.0,0.0,0.0,0,,,0.617,1.21,1.79,2.34,2.5,3.0,3.5,4.0,4.5,6.0,7.0,8.97,9.07,10.0,10.7,11.5,12.3,14.9,18.7,23.4,29.4,36.9,38.0
101,St. Kitts and Nevis,0,0.0,0.0,0.0,0,1.95,2.26,3.34,4.4,5.86,7.71,21.2,23.0,24.7,34.0,38.5,43.5,49.2,55.7,63.0,63.2,64.0,64.6,68.0,75.7,76.8,80.7,,,
102,South Korea,0.0461,0.0984,0.25,0.311,0.82,1.62,3.6,6.78,23.6,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81.0,81.6,83.7,83.8,84.1,84.8,87.6,89.9,92.8,95.1,96.0,96.2,96.5
103,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9,89.4,,
104,Kuwait,0,0.0,0.0911,0.147,0.203,0.856,2.17,3.05,4.76,6.73,8.55,10.2,22.4,22.9,25.9,28.8,34.8,42.0,50.8,61.4,65.8,70.5,75.5,78.7,82.0,85.6,98.0,99.6,99.5,99.1
105,Lao,0,0.0,0.0,0.0,0,,,0.00966,0.0378,0.111,0.182,0.268,0.334,0.361,0.85,1.17,1.64,3.55,6.0,7.0,9.0,10.7,12.5,14.3,18.2,21.9,25.5,29.1,30.8,33.8
106,Lebanon,0,0.0,0.0,0.0,0.0716,0.14,1.24,2.72,5.38,7.95,6.78,7.0,8.0,9.0,10.1,15.0,18.7,22.5,30.1,43.7,52.0,61.2,70.5,73.0,74.0,76.1,78.2,80.9,80.9,84.1
107,Liberia,0,0.0,0.0,0.0,0,,0.00449,0.0041,0.0113,0.0177,0.0338,0.0327,0.0319,0.031,,,0.551,0.53,2.0,2.3,2.5,2.6,3.2,5.41,10.0,15.7,16.3,18.9,22.0,25.6
108,Libya,0,0.0,0.0,0.0,0,,,,0.134,0.187,0.367,2.24,2.81,3.53,3.92,4.3,4.72,9.0,10.8,14.0,14.0,15.2,16.5,17.8,,,,,,
109,St. Lucia,0,0.0,0.0,0.0,0.306,0.67,0.992,1.3,1.93,5.09,8.18,14.6,21.0,21.4,21.6,24.5,27.9,30.0,31.0,32.5,34.0,34.8,36.0,39.7,41.7,43.8,46.0,48.3,50.7,53.3
110,Liechtenstein,0,0.0,0.0,0.0,0,,,,,36.5,45.1,59.5,58.8,64.0,63.4,64.2,65.1,70.0,75.0,80.0,85.0,89.4,93.8,95.2,96.6,98.1,99.5,,,
